SI_78-79_15-50m	*SampleSet*	1	1	1																			
465	23																						
	SP_78-10	SP_78-16	SP_78-21	SP_78-27	SP_78-29	SP_78-30	SP_78-33	SP_78-36	SP_78-38	SP_78-39	SP_78-41	SP_78-43	SP_78-45	JL-2	JL-3	JL-4	JL-6	JL-7	LK_79-13	LK_79-16	LK_79-6	LK_79-8	LK_79-9
Trimma halonevum Winterbottom	10	0	0	0	4	2	0	8	0	11	1	0	47	0	0	0	3	0	0	14	0	0	0
Trimma stobbsi Winterbottom	2	5	0	9	6	50	17	3	186	57	40	61	19	20	50	28	5	65	26	11	0	3	6
Amblyglyphidodon curacao	1	0	0	10	0	0	0	0	1	0	0	0	1	0	3	0	0	1	0	0	0	0	0
Amblyglyphidodon leucogaster	1	2	0	24	0	1	0	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
Archamia dispilus Lachner	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Choeroichthys cinctus Dawson	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chromis	4	0	0	0	0	34	0	1	1	0	0	0	0	0	49	0	0	0	102	0	0	17	0
Cirrhitichthys falco	1	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Doryrhamphus janssi	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dunckerocampus dactyliophorus	1	4	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eviota	1	7	25	0	0	3	2	1	0	0	2	10	1	0	0	0	0	0	9	0	0	0	1
Grammistops ocellatus	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liopropoma collettei Randall & Taylor	1	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Myripristis	1	0	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	2	0	0	0
Paraluteres prionurus	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parapercis	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parapercis cephalopunctata	1	3	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parioglossus rainfordi	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plagiotremus rhinorhynchos	1	1	0	0	0	1	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	3	1
Saurida gracilis	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	1	1	5	5	0	0
Scorpaenodes	1	1	2	0	2	1	1	0	0	1	1	0	2	2	0	0	0	3	2	0	0	2	3
Scorpaenopsis venosa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trimma cheni	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abudefduf	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acreichthys radiatus	2	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amphiprion ocellaris	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Anthiinae	2	0	0	0	1	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0
Bodianus dictynna Gomon	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Cephalopholis leopardus	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chrysiptera rollandi	2	8	50	24	0	3	0	0	1	0	0	0	1	0	0	0	0	4	0	0	0	0	0
Cirrhilabrus cyanopleura	2	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Ecsenius pictus McKinney & Springer	2	0	0	0	1	2	0	0	5	0	0	0	0	0	3	2	0	6	4	1	0	1	0
Halichoeres biocellatus Schultz	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Labroides dimidiatus	2	1	1	3	2	1	1	1	1	0	1	4	0	0	2	0	0	3	5	0	1	1	3
Scorpaenopsis brevifrons Eschmeyer & Randall	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Serranidae	2	31	0	0	16	153	0	8	11	2	4	48	2	7	42	65	3	9	4	3	52	19	2
Synchiropus bartelsi Fricke	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Synodus variegatus	2	2	1	6	0	0	2	2	3	1	1	1	3	1	1	0	0	4	0	1	2	2	1
Trimma benjamini Winterbottom	2	18	0	0	4	12	1	5	11	6	5	4	0	6	0	7	11	22	0	0	0	9	3
Dascyllus reticulatus	3	3	0	0	0	0	0	0	18	0	0	0	0	4	0	0	0	10	0	15	12	6	30
Dascyllus trimaculatus	3	2	2	0	0	0	0	6	1	0	0	0	2	0	0	0	0	1	0	0	8	4	2
Samariscus	4	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
Gnatholepis cauerensis	5	11	0	1	0	0	1	19	13	3	5	2	5	0	0	0	0	0	0	0	0	0	0
Cirrhilabrus	6	0	120	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Trimma okinawae	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pristiapogon kallopterus	8	0	0	2	0	10	0	0	8	0	0	0	0	2	0	0	0	0	0	0	6	0	0
Meiacanthus ditrema	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudocheilinus evanidus	10	7	0	5	7	18	10	0	6	8	10	0	0	0	0	0	15	0	0	0	0	0	0
Trimma macrophthalmus	11	1	0	1	0	0	0	1	1	0	0	2	0	7	0	1	0	1	0	0	0	9	3
Chromis ternatensis	14	0	8	0	0	0	0	0	100	0	0	6	0	0	0	0	0	0	500	0	4	6	22
Ostorhinchus aroubiensis	16	0	0	0	0	10	3	0	19	0	0	0	0	0	0	0	0	15	0	0	0	0	0
Chromis agilis	35	3	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ostorhinchus cyanosoma	35	14	8	8	0	0	0	0	31	0	0	1	0	0	0	0	0	0	0	0	0	0	3
Pristiapogon fraenatus	80	0	0	0	0	0	8	7	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
Ostorhinchus fleurieu	146	0	0	0	0	21	0	0	0	0	2	2	1	0	0	0	0	0	0	30	0	75	120
Amphiprion	0	1	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anyperodon leucogrammicus	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Aspidontus taeniatus	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Aulostomus chinensis	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
Callogobius clitellus McKinney & Lachner	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cantherhines pardalis	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Canthigaster valentini	0	1	0	0	0	5	5	1	9	1	11	13	1	0	0	0	0	0	6	0	0	0	0
Centropyge vrolikii	0	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chaetodon triangulum	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coris variegata	0	1	21	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corythoichthys schultzi	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Diademichthys lineatus	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fowleria	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	5	0	0	0	0	0
Halichoeres melanurus	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Labridae	0	1	6	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
Minyichthys myersi	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myripristis hexagona	0	1	0	0	1	0	0	0	2	0	0	0	9	0	0	0	0	0	0	0	0	0	0
Paragobiodon xanthosomus	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Parapercis cylindrica	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Platycephalidae	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Pomacentrus burroughi	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhabdamia	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0
Rudarius minutus Tyler	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scaridae	0	1	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Scolopsis bilineata	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sufflamen chrysopterum	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Synodus	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
Trimma agrena	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amblygobius hectori	0	11	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cephalopholis cyanostigma	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chromis analis	0	2	0	0	0	0	0	0	0	0	3	0	83	3	2	15	2	10	2	1	0	0	0
Chromis weberi Fowler & Bean	0	2	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Cirripectes filamentosus	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eviota sebreei	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fowleria flammea	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gobiodon	0	2	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ostorhinchus compressus	0	2	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oxycheilinus bimaculatus	0	2	4	9	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudocheilinus hexataenia	0	2	4	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudochromis fuscus	0	2	22	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amblygobius	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amphiprion sandaracinos	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctenochaetus strigosus	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Labrichthys unilineatus	0	3	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oxycheilinus celebicus	0	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Thalassoma lunare	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cheilinus	0	4	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Cheilodipterus truncatus	0	4	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	3	0	0	0	0
Trimma striata	0	6	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cephalopholis boenak	0	8	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusigobius signipinnis Hoese & Obika	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ostorhinchus nigrofasciatus	0	9	1	10	1	0	0	3	0	1	9	0	1	5	16	6	4	0	25	17	28	24	15
Chrysiptera talboti	0	12	0	0	0	2	0	0	0	0	0	10	3	0	0	0	0	17	0	0	0	0	0
Pomacentrus brachialis	0	12	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
Eviota pellucida Larson	0	17	4	6	2	32	2	3	20	8	2	9	0	1	13	0	0	36	12	1	0	1	1
Chrysiptera springeri	0	18	0	0	0	0	0	0	4	0	0	0	12	0	0	0	0	0	0	0	0	0	0
Cheilodipterus	0	89	4	0	0	5	1	1	4	0	0	0	21	0	0	0	0	0	0	0	0	0	0
Amblyeleotris guttata	0	0	1	0	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0	0	0	1	0
Amblyeleotris steinitzi	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amblyeleotris wheeleri	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amblyglyphidodon aureus	0	0	1	0	1	0	0	0	0	3	0	10	0	0	0	0	0	0	0	0	0	0	0
Amblygobius phalaena	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amphiprion perideraion	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Apogon erythrinus	0	0	1	0	0	0	0	1	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Bryaninops loki Larson	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Cabillus	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Callogobius	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Callogobius sclateri	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chaetodontoplus mesoleucus	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Coryphopterus	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dascyllus aruanus	0	0	1	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Diodon holocanthus	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Diplogrammus	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Diproctacanthus xanthurus	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Ecsenius namiyei	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Epinephelus fasciatus	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
Eviota spilota Lachner & Karnella	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusigobius	0	0	21	2	0	0	0	0	5	2	2	3	0	3	0	0	1	4	1	0	0	0	0
Gobiidae	0	0	4	0	0	1	0	0	8	0	0	0	1	0	1	0	0	3	2	9	0	0	0
Halichoeres margaritaceus	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halichoeres prosopeion	0	0	1	6	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
Hetereleotris	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Hypoatherina barnesi	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neoglyphidodon melas	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neoglyphidodon nigroris	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plectroglyphidodon lacrymatus	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pleurosicya muscarum	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pomacanthus sexstriatus	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Priolepis nuchifasciata	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Priolepis semidoliata	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudamia	0	0	1	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudochromis marshallensis	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudoplesiops knighti Allen	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	0	0	0	0
Pteragogus	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
Sargocentron diadema	0	0	1	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Synodus binotatus Schultz	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tenacigobius erythrops	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trimma naudei	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
