complete_name	year_established	core_area_ha	buffer_area_ha
Sua Fish Sanctuary and Marine Reserve	2002	1.3	0
Bonbon Fish Sanctuary and Marine Reserve	2002	1.36	0
Brgy. Kawit Or. Marine Sanctuary	0	1.5	0
Katambak Mini Sanctuary	2000	1.5	0
Mapatag Marine Sanctuary	1999	1.75	0
Pagkilatan Fishery Reserve	2005	1.79	0
Ondol Seagrass Sanctuary	2000	1.8	0
Banawon Marine Sanctuary	1999	1.95	0
Sunken Island Marine Reserve and Sanctuary	2004	2	1
Mag-aba Marine Sanctuary	1997	2	1
Katumanan Mini Sanctuary	1999	2	0
Maujo - Juangon Fish Sanctuary	1998	2	0
Lower Loboc Fish/Shellfish Sanctuary	0	2	0
Catiil Island & Tabong Dio Island Municipal Fish Sanctuaries	0	2	0
Malatugawi Island MPA	0	2	0
Marangog Marine Sanctuary	2006	2	0
Paon Artificial Reef Project	0	2	0
Idiacacan Marine Sanctuary	1998	2	0
Igdalaguit Municipal Fish Sanctuary	1997	2	0
Nocnocan Marine Sanctuary	1997	2	0
Pangpang & Panas Mangrove Forest Reserve	0	2	0
Himokilan Marine Protected Area	2010	2	0
Pulo Fish Sanctuary	2002	2	0
Rupagan Fish Sanctuary	2007	2	0
Binlanan Marine Protected Area	2002	2.1	0
Dive and Trek Fish Sanctuary	1995	2.2	0
Frog Fish MPA	2002	2.21	0
North Lipayo Marine Reserve	2000	2.21	0
Lagundi Reef Marine Protected Area	2005	2.4	0
Batalang Bato Marine Sanctuary	2002	2.5	0
Biasong Marine Sanctuary	1994	2.5	0
Sta. Maria Marine Sanctuary	0	2.5	0
Brgy. San Jose Artificial Coral Reef	1995	2.5	0
Brgy. Manlangit Libod/Dilis culture	1995	2.5	0
Himbangan Fish Sanctuary	2000	2.5	0
Balong-balong - Cogon Marine Sanctuary	0	2.5	0
Hindag-an Fish Sanctuary	2000	2.5	0
Looc Marine Sanctuary	1998	2.513	0
Taklobo Farm Marine Protected Area	1989	2.55	0
Libaong Marine Protected Area	2005	2.55	0
Naba Marine Sanctuary	1999	2.7	0
Duka Fish Sanctuary	0	2.7	0
Marine Reserve	2005	2.8	0
Ghost Pipe and Sea Horse MPA	2005	2.854	0
Abiera Fish Sanctuary	1998	2.95	1
Compol Marine Protected Area	2011	2.99	0
Balabagon Fish Sanctuary	2007	3	0
Concepcion Norte FS	2007	3	0
San Alonzo Marine Sanctuary	2002	3	0
Tugas Marine Reserve	0	3	0
Timba - Santo Nino Fish Sanctuary	1996	3	0
Talaongan Marine Sanctuary	2008	3	0
Hermano Fish Sanctuary	2005	3	0
Cagduyong Fish Sanctuary & Marine Reserve	0	3	0
Patria Marine Sanctuary	1997	3	0
Bucana Fish Sanctuary	0	3	0
Mantangale Marine Sanctuary	1994	3	0
Buenavista Fish Sanctuary	0	3	0
Brgy. Pantalan Libod/Dilis culture	1995	3	0
Kulasihan Fish Sanctuary/Marine Reserve	0	3	0
Cagdongas Fish Sanctuary & Marine Reserve	0	3	0
Bagacay Marine Sanctuary	1996	3	0
Punta Fish Sanctuary	1994	3	0
Lawigan Marine Protected Area	2011	3.01	0
Tawala Marine Sanctuary	1998	3.18	0
Nahulid Marine Sanctuary	2001	3.2	0
Soft Coral Garden Reef (Alad Is.)	0	3.383	0
Balicasag Island Fish Sanctuary	1999	3.44	0
Madua Norte Marine Sanctuary	1999	3.47	0
Lipanto Fish Sanctuary	1996	3.5	0
Canigao Island Fish Sanctuary	1992	3.5	0
Takot Reef Marine Protected Area	2004	3.53	0
Lipata I Marine Protected Area	2006	3.6	0
Nausok Marine Sanctuary	2001	3.635	0
Funda-guintas Marine Sanctuary	1999	3.65	0
Lunas Acropora Park	0	3.684	0
Bunga Mar Marine Sanctuary	1998	3.79	0
Tawing-tawing Reef Sanctuary	2005	3.822	19.775
Santos Reef Fish Sanctuary	2005	3.845	19.2
Bob Reef Sanctuary	2005	3.845	19.2
Alga Marine Protected Area	2011	3.85	0
Minoyho Marine Reserve	2012	3.86	0
Batonan Sur Fish Sanctuary	1996	3.868	0
Madua Sur Marine Sanctuary	1999	3.97	0
Balangiga Reef Fish Sanctuary (Paglalangnan Reef)	2003	4	1
Oro Marine Reserve	2008	4	0
Mambayaan Fish Sanctuary	2006	4	0
Dakit-Dakit Marine Sanctuary	0	4	0
Gigantangan Island Tourist Zone and Marine Reserve	1978	4	0
Kibila Marine Sanctuary (Brgy. Cantaan)	2001	4	0
Santa Sofia Fish Sanctuary	2005	4	0
Dampias Fish Sanctuary	2006	4	0
Mobod Fish/Shellfish Sanctuary	0	4	0
Sn. Vicente Bajo Fish/Shellfish Sanctuary	0	4	0
Motag Marine Sanctuary	2005	4	0
Timba - Benit Fish Sanctuary	0	4	0
Payao Fish Sanctuary & Marine Reserve	1997	4	0
Lungsodaan Fish Sanctuary	2005	4	0
Las Salinas Sur Marine Sanctuary	2003	4	0
Timba Fish Sanctuary and Marine Reserve	2002	4	0
Agay-ay Fish Sanctuary and Marine Reserve	2002	4	0
New Barbacan MPA	2014	4	504.63
Corangon Marine Fishery Reserve & Sanctuary	2002	4.04	1
Lipata Fish Sanctuary	1997	4.0425	0
San Roque Marine Sanctuary	2001	4.06	0
Binaobao Marine Sanctuary	2003	4.064	0
Guinsularan Marine Sanctuary	2003	4.09	0
Nonoc Marine Protected Area	1996	4.13	0
Basdiot Fish Sanctuary	1998	4.17	0
Nemo/Clown Fish MPA	2000	4.2	0
Bahura Marine Reserve	2005	4.21	0
Cautod Fish Sanctuary	2005	4.4	0
Pilar Mangrove Protected Area	1997	4.5	0
Digyo Marine Sanctuary	1995	4.5	0
Gibitngil Marine Sanctuary	2004	4.5	0
Can-unzo Marine Reserve Area	1998	4.5	0
Agutayan Island MPA	1997	4.5	0
Pescador Island Marine Sanctuary	1996	4.5	0
Tangaro Marine Protected Area	2011	4.55	0
Jandayan Sur Fish Refuge and Sanctuary	2002	4.65	0
Tagusao-Sowangan Marine Protected Area	2012	4.7	45388.62
Tagusao-Sowangan Marine Protected Area	2012	4.7	45388.62
Catarman Marine Sanctuary	2000	4.74	0
Victory Marine Protected Area	2002	4.8	0
San Isidro Fish Sanctuary	2003	4.8	0
Camboang Marine Sanctuary	1997	4.82	0
Bagasbas Marine Protected Area	0	5	1
Barusbus Marine Sanctuary	1999	5	1
Bulanao Marine Sanctuary	2001	5	1
San Roque Marine Sanctuary	1999	5	1
Animasola Is.	0	5	0
Patnongon Fish Refuge and Sanctuary	2005	5	0
Kalamansing Fish Sanctuary	0	5	0
Brgy. Nipa Libod/Dilis culture	1995	5	0
Lutao Reef Marine Sanctuary Reserve & Laboratory	0	5	0
Mansud Wall Marine Protected Area	2001	5	0
Palimbang Fish Sanctuary	0	5	0
Dulapo Fish/Shellfish Sanctuary	0	5	0
Halabangbaybay Is.	0	5	0
Magcasongyao Fish Sanctuary & Marine Reserve	0	5	0
Mauswagon MPA	2008	5	0
Poblacion Marine Reserve	1994	5	0
7 Ayud facing Mactan Island	0	5	0
Baybay Molocboloc Fish Sanctuary	2006	5	0
Bancal Bay Fish Sanctuary	1996	5	0
Albaguen Island Fish Sanctuary	1997	5	0
Brgy. Poblacion Fish Sanctuary	2006	5	0
Poblacion (Tibiao) Reef Reserve	1993	5	0
Banban-Luyang Marine Protected Area	2007	5	0
Kinabuga-an Point Fish Sanctuary	1997	5	0
Casay Fish Sanctuary and Marine Park	2002	5	0
Tuble Fish Sanctuary	2006	5	0
Brgy. Tagda Municipal Mangrove Forest Reserve	0	5	0
Punta & Abuyon Fish Sanctuary	0	5	0
Botigues Marine Sanctuary	1999	5	0
Sto. Domingo Fish Sanctuary	2005	5	0
Cawit Marine Reserve	2011	5	0
Pamilacan Coral Garden	2008	5	0
Guiwanon - Santa Cruz Marine Protected Area	2008	5	0
Taguihon Bamboo Reef	2008	5	0
Bin-de Fish Sanctuary	2007	5	0
Baigad Marine Sanctuary	2006	5.01	0
Mogpog Community Marine Reserve	2006	5.07	253.5
Sagahan Marine Protected Area (Campanoy Reef)	2012	5.1	0
Biking Marine Sanctuary	2005	5.25	0
Calubian Fish Sanctuary	1997	5.28	0
Opol Marine Sanctuary	2002	5.3	0
Looc Fish Sanctuary	2003	5.35	0
Dampias-Mosangot Marine Sanctuary	2005	5.4	0
Bolod Fish Sanctuary	1998	5.42	0
Dolores Marine Fisheries Haven	2014	5.49	35.32
Catbawan - Dan-an Fish Sanctuary	1999	5.5	0
Brgy. 25 Municipal Waters	0	5.5	0
Poblacion Marine Protected Area	2011	5.52	0
Santa Filomena Marine Sanctuary	1994	5.62	0
Magkalagom Marine Protected Area	2002	5.6831	0
Pajo Marine Sanctuary	2003	5.76	1
Pucio Marine Sanctuary	2000	5.76	1
Union Marine Sanctuary	1999	5.76	1
Naatang Marine Sanctuary	2002	5.8074	0
Canimog Fish Sanctuary	2010	5.887	1
Buntis Marine Sanctuary	2000	5.97	0
Agnipa Acropora Garden	0	5.975	0
Balaas Marine Reserve	2002	6	0
Masaplod Sur Marine Reserve	2001	6	0
Burnay Marine Sanctuary	2006	6	0
Yellow Snapper MPA	2002	6	0
Bugatusan Wilderness Area	0	6	0
Pinol Fish Sanctuary	0	6	0
Blue Spotted Whale - Stingray Marine Reserve	1997	6	0
Polo Marine Reserve	1998	6	0
Lajog Marine Sanctuary	2002	6	0
Malusay Marine Reserve	1996	6	0
Hagdan Marine Sanctuary	2008	6	0
Punta Reef Riverside Fish Sanctuary	2002	6	0
Hilaitan Marine Reserve	1996	6	0
Masaplod Norte Marine Reserve	1994	6	0
Calero Marine Sanctuary	2006	6	0
Cangmating Marine Reserve	1997	6	0
Tangkaan Fish Sanctuary	2005	6	0
Agan-an Marine Reserve	1999	6	0
Lapinig Marine Sanctuary	1998	6	0
Lion Fish Marine Protected Area	2002	6	0
Artajo Marine Sanctuary	2000	6	0
Mago-ong Samburon Marine Protected Area	2010	6	0
Sinisian East MPA	2008	6.2	0
Maite Marine Protected Area	2009	6.3	0
Binabalasan Island Marine Sanctuary	2006	6.35	0
Montaneza MPA	2007	6.358	0
Andulay Marine Reserve	1994	6.4	0
Lewing Fish Sanctuary	2005	6.4	1
Punta Fuego Marine Sanctuary	2009	6.45	0
Lamawan Pony Marine Protected Area	2003	6.5	0
Paliton Marine Protected Area	2008	6.5	0
Carenahan Fish Sanctuary and Fish Reserve	2003	6.567	0
Binatubo (Binaliwan) Marine Sanctuary	2001	6.567	0
Calayugan Norte Shell Garden and Fish Sanctuary	2002	6.57	0
Malatgao Fishery Reserve	1	6.59797	0
Cogon Norte Shell Garden and Fish Refuge and Sanctuary	1997	6.61	0
Ipil Marine Sanctuary	2002	6.65	0
Talayong  Marine Protected Area	2003	6.68	0
Sitio Nagubat Fish Sanctuary	2009	6.693	13.186
Bingag Marine Sanctuary	2003	6.7	0
Pangapasan Island Fish Sanctuary	1998	6.75	0
Napayong Marine Protected Area	2003	6.83	0
Cabugan Marine Reserve	1986	6.9	0
Dolores Marine Fisheries Haven	2014	6.96	0
Mabay, Maitum Fish Sanctuary	0	7	0
Tinangnan Marine Sanctuary	2009	7	0
Garrido Marine Reserve	2012	7.04	0
Maayong Tubig Marine Reserve	2000	7.129	0
Anibong Marine Sanctuary	2005	7.14	0
Alumar Marine Sanctuary	1996	7.3	0
Bulak Marine Reserve	2005	7.42	0
Barracuda MPA	2002	7.424	0
Canuba Marine Sanctuary	2002	7.483	0
Calatagan Mangrove Forest Conservation Park	2009	7.5	1
Apid Marine Sanctuary	1994	7.5	0
Tubod Marine Protected Area	1987	7.5	0
Limay Fish Sanctuary	2005	7.5	0
Babag Reef Sedentary Invertebrate Sanctuary	2007	7.5	0
Esperanza Fish Sanctuary	2007	7.5	0
Union Marine Sanctuary	0	7.6	0
Poblacion Marine Sanctuary	2009	7.63	0
Magbangon (Tinagan) Fish Sanctuary	1995	7.7	0
Batuan Fish Sanctuary	2003	7.71	0
Doljo Fish Sanctuary	1998	7.71	0
Catarman Marine sanctuary	1997	7.73	0
Bil-isan Fish Sanctuary	1998	7.758	0
Chico Island Wildlife Sanctuary	2000	7.77	0
Basak Marine Sanctuary	2006	7.8	0
San Francisco Fish Sanctuary	1996	7.8	0
Mahaba Marine Sanctuary	1994	7.8	0
Manlapo Reef Fish Sanctuary	2005	7.966	10.173
Bubuanan Marien Protected Area & Fish Sanctuary	2005	8	0
Canhawan Fish Sanctuary	2005	8	0
Maslog Marine Sanctuary	2003	8	0
Jaena Marine Sanctuary	0	8	0
Buayan MS	0	8	0
Monbon Marine Protected Area & Fish Sanctuary	2005	8	0
Guindacpan Marine Sanctuary	1995	8	0
Marisan Reef Fish Santuary & Marine Reserve	1998	8	0
Old Mahayag Fish Sanctuary & Marine Reserve	1998	8	0
Lucero Marine Protected Area	2004	8	0
Old Mahayag Protected Area & Fish Sanctuary	2005	8	0
Rama Marine Protected Area & Fish Sanctuary	2005	8	0
Iguid Fish Sanctuary & Marine Reserve	0	8	0
Liberty Marine Sanctuary	2002	8	0
Anilao Reserve Area for Seagrass and Brown Mussl	1997	8	0
Lutaon Reef Marine Protected Area & Fish Sanctuary	1996	8	0
Poblacion Marine Sanctuary	2012	8	0
Langub-San Roque Marine Sanctuary	2013	8	0
Danao Fish Sanctuary	1998	8.07	0
Saavedra Fish Sanctuary	1994	8.13	0
South Lipayo Marine Sanctuary	2005	8.2	0
Tonggusong-Maruwa Fish Sanctuary	2007	8.2	0
Lalag-Bato Marine Reserve	2003	8.23	0
Larapan Marine Sanctuary	2002	8.24	0
Luculan Shoal	2006	8.25	0
Sto. Nino Marine Rehabilitation Zone	2013	8.4	0
Balagawan Marine Protected Area	0	8.5	0
Bonbonon Marine Sanctuary	1995	8.6	0
Oslao Marine Fish Sanctuary	2009	8.6	0
Puro Island Fish Sanctuary	1998	8.73	0
Maac Fish Sanctuary	2006	8.75	0
Moog MPA	2010	8.75	0
Apuao Fish Sanctuary	2002	8.76	1
Mantigue Island Marine Sanctuary	2000	8.8	0
Bio-os ""Takot-Diot"" Marine Sanctuary	1999	8.87	17.3
Canhagdon Occidental Fish Refuge and Seagrass Sanctuary	2000	8.91	0
Carang Marine Reserve	2003	8.96	0
Arbor Marine Sanctuary	2002	9	0
Tanagan Marine Protected Area	1995	9	0
Manglit Marine Sanctuary	1997	9	0
Damayuhan Marine Sanctuary	1998	9	0
Puerto San Pedro Fish Sanctuary	1995	9	0
Poblacion Fish Sanctuary	1998	9	0
Tacub Fish Sanctuary	2010	9	0
Banban Fishery and Refuge Center	2001	9.03	0
Maasin City Fish Sanctuary	1995	9.09	0
Calusa Marine Sanctuary	2009	9.1	0
Sea Turtle Marine Protected Area	2000	9.17	0
Marble Reef	0	9.177	0
Poblacion Dicstrict 1 Marine Reserve	2000	9.1779	0
Sta. Cruz Sanctuary	2002	9.2	0
Tandayag Marine Sanctuary	1996	9.22	0
Tan-awan Marine Protected Area	2012	9.26	0
Mabaw Reef Marine Sanctuary	2006	9.288	0
Ubayon Marine Sanctuary	2000	9.3	0
Granada Marine Sanctuary	2002	9.35	0
Garza Fish Sanctuary and Refuge	2007	9.4	0
Bonbon Seagrass Sanctuary	2000	9.45	0
Kabug Marine Reserve	0	9.5	0
LUFFEA Mangrove Conservation	2005	9.5	1
Zaragosa Badian Island Marine Sanctuary	1987	9.6	0
Itum Marine Sanctuary	2003	9.73	0
Panghiawan Marine Protected Area	2011	9.77	0
Caniogan MPA	2001	9.8	0
Lawis Fish Sanctuary	2003	9.9	0
Ditangol Marine Sanctuary	2004	10	1
Taboc Marine Sanctuary	1999	10	1
Igdanlog Marine Protected Area	2011	10	1
Brgy. Buenavista Fish Sanctuary	0	10	0
Pooc Marine Sanctuary	2000	10	0
Bolusao Fish Sanctuary	2000	10	0
Pantudlan Fish Sanctuary	1999	10	0
San Jose Marine Reserve	1996	10	0
Lipakan Artificial Reef	0	10	0
Basdacu Fish Refuge and Sanctuary	2002	10	0
Canawan Artificial Reef	0	10	0
Lutoban Marine Reserve	2002	10	0
Libagong Fish Sanctuary	0	10	0
Capones Island Marine Protected Area	2011	10	0
Brgy. Dos Artificial Reef Fish Santuary	0	10	0
Bolisong Marine Sanctuary	1987	10	0
Canlawron Marine Refuge and Sanctuary	2005	10	0
Pinagbayangan, Guiniyangan Fish Sanctuary	0	10	0
East Ulbujan-West Ulbujan Marine Sanctuary	2001	10	0
Luyang Mangrove Reserve	1997	10	0
Caracol Fish Sanctuary	0	10	0
Pinanggala Fish Sanctuary	2001	10	0
Tubigan, Zarraga Coastal Resource Management	0	10	0
Cuasi Fish Refuge and Sanctuary	2001	10	0
Lawis Seagrass Sanctuary	2000	10	0
San Francisco Seagrass Reserve Area	0	10	0
Brgy. Pinantao Fish Sanctuary	0	10	0
Sondol Fish Sanctuary	1999	10	0
Pangi Marine Sanctuary	2008	10	0
Kilolorum Real Marine Sanctuary	1997	10	0
Lampinigan Island Marine Protected Area	2005	10	0
Patao Marine Sanctuary	1999	10	0
Calayugan Sur Fish Sanctuary	1997	10	0
Napantao Marine Sanctuary	1996	10	0
Hilantagaan Daku Fish Sanctuary (Dakong Baybay Fish Sanctuary)	1998	10	0
Balagbag Reef Fish Sanctuary	2005	10	0
Polo Bato MPA	1998	10	0
Pangalaycayan Marine Sanctuary	2008	10	10
Alang-alang Marine Sanctuary	2000	10	0
Domolog Marine Reserve	2003	10	0
Brgy. Jordan Fish Sanctuary	0	10	0
Corte-Baud Marine Sanctuary	2002	10	0
Tanauan Fish Sanctuary	2005	10	0
Tabero Marine Reserve	2004	10	0
Tabugon Marine Reserve	1996	10	0
Bantigue Marine Sanctuary	1999	10	0
Biasong Fish Sanctuary	1996	10	0
Dongon and Tamparan Fish Sanctuary	0	10	0
Pangubaan Reef Fish Sanctuary	1998	10	0
Otikon Marine Sanctuary	1994	10	0
Sta. Brigida Fish Sanctuary	0	10	0
Salag Marine Reserve	2001	10	0
Casama Fish Sanctuary	2005	10	0
Silangang Kalutan Fish Sanctuary	2001	10	0
Doong Marine Sanctuary	1999	10	0
Cawayan Marine Park & Sanctuary	2006	10	0
N. Zabala/Balbaguenan and Pangadlawan Reef	2013	10	0
Guinosayan Reef Fish Sanctuary	2001	10	0
Bacong Artificial Reef	0	10	0
Lower Lasang Fish Sanctuary	0	10	0
Luyong-Baybay Marine Sanctuary	1997	10	0
Borot Fish Sanctuary	1998	10	0
Bahurang Malapad-Silag Reef Marine Reserve	2002	10	20
Karihatag Marine Fish Sanctuary	2009	10	0
Cagtinae Marine Sanctuary	2011	10	0
Kabasalan Marine Protected Area	2012	10	3
Binabalian Marine Protected Area	2005	10	1
Tugas Marine Sanctuary	2002	10	0
Santa Paz Fish Sanctuary	2010	10	0
Punta Fish Sanctuary	2009	10	0
Poblacion-Tugar Fish Sanctuary	2010	10	0
Tacasan Fish Sanctuary	2002	10	14
Tacasan Fish Sanctuary	2002	10	14
Tacasan Fish Sanctuary	2002	10	0
Guiwanon-Punta Cruz Marine Sanctuary	1995	10.05	0
Bontoc Fish Sanctuary	2009	10.1	0
Sto. Nino Seagrass Sanctuary	2000	10.1	0
Gosoon Fish Sanctuary	2003	10.11	0
Malaga Marine Reserve	1996	10.257	0
Banilad-Guinapangan Fish Sanctuary	2010	10.28136381	0
Tabunan Marine Sanctuary	2004	10.31	0
Pig-ot Shell Garden and Marine Sanctuary	2000	10.32	0
Poblacion Marine Protected Area	2005	10.32	0
Tugas Marine Sanctuary	2008	10.35	0
Legaspi Marine Sanctuary	2002	10.35	0
Banilad-Simborio Fish Sanctuary	2010	10.40805277	0
Lingsat Marine Protected Area	2012	10.43	70.57
Madangog Fish Sanctuary	2003	10.45	0
Pasil Marine Sanctuary	2002	10.45	0
Tag-ulo Marine Reserve	2003	10.48	0
Jagoliao Fish Refuge and Sanctuary	1998	10.5	0
Bilang-Bilangan Fish Sanctuary	1999	10.5	0
MARIKABAN Marine Protected Area	2004	10.5	0
Linusotan Coral Garden and Marine Park	2001	10.5	11.07
Pasiagan Fish Sanctuary	2009	10.55	0
Libas Marine Sanctuary	2004	10.595	0
Bantiguian Marine Sanctuary	2004	10.6	0
Sidlakan Marine Sanctuary	2004	10.6	0
Alejawan Marine Sanctuary	1999	10.67	0
Madridejos Marine Sanctuary	1994	10.78	0
Ilog Malino Marine Protected Area	2007	10.8	0
Patar Marine Sanctuary	2005	10.8	0
Estanza Marine Protected Area	2005	10.8	0
Glan Padidu Marine Protected Area	2000	10.86	0
Caubang Marine Reserve	2014	10.88	0
Hugom Marine Protected Area	1999	11	0
Sta Ana Marine Protected Area	1995	11	0
Gumasa Fish Sanctuary	0	11	0
Kabiling Tupsan Fish Sanctuary	2003	11	0
Dao-San Isidro Marine Sanctuary	2002	11	0
Haya-an Islet Wilderness Area	0	11	0
San Fernando Marine Sanctuary	2014	11	22
Pio del Pilar Fish Sanctuary	2002	11.02	0
Calunangan-Benabaye Fish Sanctuary	0	11.04	0
Burason Fish Sanctuary	2012	11.18	0
Cogon Fish Sanctuary	2003	11.25	0
Sawang Marine Sanctuary	2005	11.34	0
Santa Filomena (Sta. Fe) Marine Sanctuary	2002	11.5251	0
Banquil Marine Reserve Area	1996	11.55	0
Mantampok Islet Marine Sanctuary	2003	11.6	1
Candugay Marine Protected Area	2014	11.6	0
Sumaclob Reef Fish Sanctuary	2010	11.67	0
Pagbilao Fish Sanctuary	0	11.7865	0
Pambato Reef Marine Sanctuary	2008	11.79	0
Guinob-an Marine Reserve and Fish Sanctuary	1994	11.8	1
Cabacongan Fish Sanctuary	1997	11.8	0
Pamilacan Island Fish Sanctuary	1986	11.9	0
Tinigbas Marine Sanctuary	1998	12	1
Magluto Reef	2010	12	1
Cabog, Kapatan Fish Sanctuary	2000	12	0
Pagatban Lampirong Reserve	2003	12	0
Talaga Marine Sanctuary	2003	12	0
Brgy. Sugod Artificial Coral Reef	1995	12	0
Ginablan Marine Sanctuary	2003	12	0
Cangmunag Marine Sanctuary	2010	12	0
Bogo Marine Sanctuary	2002	12	0
Bacutan Reef Fish Sanctuary (Brgy. Astorga)	2003	12	0
Olivo Marine Sanctuary	2000	12	0
Sto. Nino Fish Sanctuary	2001	12	0
Tulic Marine Sanctuary	2002	12	0
Bulasa Marine Sanctuary	2003	12	0
Casay Marine Sanctuary	2003	12	0
Poblacion FS	2002	12	0
Binlod Marine Sanctuary	2003	12	0
Balud - Consolacion Marine Park and Sanctuary	2002	12	0
Talo-ot Marine Sanctuary	2003	12	0
Langtad Marine Sanctuary	2002	12	0
Kapatan Marine Protected Area	1996	12	0
Rizal Fisher-folk Marine Protected Area	2009	12	0
Banot Island Reef Fish Sanctuary	2016	12	0
Ginatilan Marine Sanctuary	2006	12.01	0
Taculing - Canmalalag  Marine Protected Area	1988	12.13	0
Agtongo's Rock (Brgy. Agtongo)	0	12.172	0
Guiwanon Marine Protected Area	2013	12.2	0
Minolos Marine Protected Area	2013	12.2	0
Maraag Marine Sanctuary	2001	12.26	0
Canlucani Marine Reserve	2003	12.28	0
Napo Marine Reserve	2003	12.28	0
Guimputlan Marine Reserve	2003	12.28	0
Banbanan Marine Reserve	2003	12.46	0
Tuboran Marine Sanctuary	2000	12.5	0
Gawi Marine Sanctuary	2002	12.54	0
Pagatpatan Fish Sanctuary	2001	12.58	0
Siocon Marine Sanctuary	2003	12.6	0
Macaas Marine Sanctuary	1999	12.7	0
Guiwanon Marine Sanctuary	2000	12.82	0
Magting Marine Sanctuary	2005	12.84	0
Bangcogon Marine Protected Area	2005	12.93	0
Onse Reef Fish Sanctuary	2006	12.96	0
Ilijan Fishery Refuge and Sanctuary	2011	12.97	0
Bulaklakin Reef Fish Sanctuary	2005	13	0
Cagangohan Fish Sanctuary	2003	13	40
Tangaran Seagrass and Shell Garden	2001	13	0
San Antonio Fish Sanctuary	1996	13	0
Mandarin MPA	2002	13	0
Batong Lakay	2003	13	0
Tandol Reef Fish Sanctuary	0	13.12	0
Carot Fish Sanctuary	1999	13.3	0
Gaus II Marine sanctuary	2006	13.3	0
Colase Marine Sanctuary	2002	13.32	0
Sandugan Marine Protected Area	2003	13.38	0
Tangnan Marine Sanctuary	2000	13.42	0
Lipayran Marine Sanctuary	1999	13.44	0
Tahud Marine Sanctuary	0	13.5	0
Caticugan Marine Sanctuary	2003	13.51	0
Guinacot Marine Sanctuary	2002	13.7	0
Manapag Reef Sanctuary	2006	13.7196	1
Mercedes Marine Protected Area	0	13.75	0
Dinagsaan Marine Protected Area	2015	13.77	0
Catibac Marine Protected Area	2011	13.83	0
Sta. Theresa Fish Sanctuary	2013	13.9	0
Pinagdakutan Santelmo Marine Sanctuary	2009	13.93	0
Lucatan Fish Sanctuary	2005	13.97	0
Talangnan Fish Sanctuary	1998	14	0
Cantapoy Marine Sanctuary	2001	14	0
Payak Fish Sanctuary	2001	14	0
Pagsangahan Fish Sanctuary	2003	14	0
